sampleid	forward-absolute-filepath	reverse-absolute-filepath	Matrix	Spiked_CFU	Condition	Replicate	qPCR	Spike_code1	Spike_code2	Both_cond_seq
3B-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3B-BPW_FS-V4_WON1803A37-32_S74_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3B-BPW_FS-V4_WON1803A37-32_S74_L002_R2_001.fastq.gz	Feed	750	Enriched	B	pos	3	3B	TRUE
3B-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3B-DirExt_FS-V4_WON1803A37-5_S80_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3B-DirExt_FS-V4_WON1803A37-5_S80_L002_R2_001.fastq.gz	Feed	750	Direct	B	pos	3	3B	TRUE
3C-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3C-BPW_FS-V4_WON1803A37-33_S75_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3C-BPW_FS-V4_WON1803A37-33_S75_L002_R2_001.fastq.gz	Feed	750	Enriched	C	pos	3	3C	TRUE
3C-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3C-DirExt_FS-V4_WON1803A37-6_S81_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3C-DirExt_FS-V4_WON1803A37-6_S81_L002_R2_001.fastq.gz	Feed	750	Direct	C	pos	3	3C	TRUE
4A-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/4A-DirExt_FS-V4_WON1803A37-7_S82_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/4A-DirExt_FS-V4_WON1803A37-7_S82_L002_R2_001.fastq.gz	Feed	7500	Direct	A	pos	4	4A	FALSE
4B-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/4B-DirExt_FS-V4_WON1803A37-8_S83_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/4B-DirExt_FS-V4_WON1803A37-8_S83_L002_R2_001.fastq.gz	Feed	7500	Direct	B	pos	4	4B	FALSE
4C-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/4C-DirExt_FS-V4_WON1803A37-9_S84_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/4C-DirExt_FS-V4_WON1803A37-9_S84_L002_R2_001.fastq.gz	Feed	7500	Direct	C	pos	4	4C	FALSE
5A-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/5A-DirExt_FS-V4_WON1803A37-10_S50_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/5A-DirExt_FS-V4_WON1803A37-10_S50_L002_R2_001.fastq.gz	Feed	75000	Direct	A	pos	5	5A	FALSE
5B-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/5B-DirExt_FS-V4_WON1803A37-11_S51_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/5B-DirExt_FS-V4_WON1803A37-11_S51_L002_R2_001.fastq.gz	Feed	75000	Direct	B	pos	5	5B	FALSE
5C-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/5C-DirExt_FS-V4_WON1803A37-12_S52_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/5C-DirExt_FS-V4_WON1803A37-12_S52_L002_R2_001.fastq.gz	Feed	75000	Direct	C	pos	5	5C	FALSE
6A-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/6A-DirExt_FS-V4_WON1803A37-13_S53_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/6A-DirExt_FS-V4_WON1803A37-13_S53_L002_R2_001.fastq.gz	Feed	750000	Direct	A	pos	6	6A	FALSE
6B-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/6B-DirExt_FS-V4_WON1803A37-14_S54_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/6B-DirExt_FS-V4_WON1803A37-14_S54_L002_R2_001.fastq.gz	Feed	750000	Direct	B	pos	6	6B	FALSE
6C-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/6C-DirExt_FS-V4_WON1803A37-15_S55_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/6C-DirExt_FS-V4_WON1803A37-15_S55_L002_R2_001.fastq.gz	Feed	750000	Direct	C	neg	6	6C	FALSE
negA-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negA-BPW_FS-V4_WON1803A37-34_S76_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negA-BPW_FS-V4_WON1803A37-34_S76_L002_R2_001.fastq.gz	Feed	0	Enriched	A	neg	neg	negA	TRUE
negA-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negA-DirExt_FS-V4_WON1803A37-16_S56_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negA-DirExt_FS-V4_WON1803A37-16_S56_L002_R2_001.fastq.gz	Feed	0	Direct	A	neg	neg	negA	TRUE
negB-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negB-BPW_FS-V4_WON1803A37-35_S77_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negB-BPW_FS-V4_WON1803A37-35_S77_L002_R2_001.fastq.gz	Feed	0	Enriched	B	neg	neg	negB	TRUE
negB-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negB-DirExt_FS-V4_WON1803A37-17_S57_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negB-DirExt_FS-V4_WON1803A37-17_S57_L002_R2_001.fastq.gz	Feed	0	Direct	B	neg	neg	negB	TRUE
negC-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negC-BPW_FS-V4_WON1803A37-36_S78_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negC-BPW_FS-V4_WON1803A37-36_S78_L002_R2_001.fastq.gz	Feed	0	Enriched	C	neg	neg	negC	TRUE
negC-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negC-DirExt_FS-V4_WON1803A37-18_S58_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/negC-DirExt_FS-V4_WON1803A37-18_S58_L002_R2_001.fastq.gz	Feed	0	Direct	C	neg	neg	negC	TRUE
