sampleid	forward-absolute-filepath	reverse-absolute-filepath	Matrix	Spiked_CFU	Condition	Replicate	qPCR	Spike_code1	Spike_code2	Both_cond_seq
2C-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/2C-BPW_CS-ShotSeq_WON1680A53-15_S7_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/2C-BPW_CS-ShotSeq_WON1680A53-15_S7_L002_R2_001.fastq.gz	Caeca	59	Enriched	C	neg	2	2C	TRUE
2C-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/2C-DirExt_CS-ShotSeq_WON1680A53-39_S33_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/2C-DirExt_CS-ShotSeq_WON1680A53-39_S33_L002_R2_001.fastq.gz	Caeca	59	Direct	C	neg	2	2C	TRUE
3A-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3A-BPW_CS-ShotSeq_WON1680A53-9_S48_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3A-BPW_CS-ShotSeq_WON1680A53-9_S48_L002_R2_001.fastq.gz	Caeca	592	Enriched	A	pos	3	3A	TRUE
3A-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3A-DirExt_CS-ShotSeq_WON1680A53-34_S28_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3A-DirExt_CS-ShotSeq_WON1680A53-34_S28_L002_R2_001.fastq.gz	Caeca	592	Direct	A	neg	3	3A	TRUE
3B-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3B-BPW_CS-ShotSeq_WON1680A53-10_S2_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3B-BPW_CS-ShotSeq_WON1680A53-10_S2_L002_R2_001.fastq.gz	Caeca	592	Enriched	B	neg	3	3B	TRUE
3B-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3B-DirExt_CS-ShotSeq_WON1680A53-35_S29_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3B-DirExt_CS-ShotSeq_WON1680A53-35_S29_L002_R2_001.fastq.gz	Caeca	592	Direct	B	neg	3	3B	TRUE
3C-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3C-BPW_CS-ShotSeq_WON1680A53-12_S4_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3C-BPW_CS-ShotSeq_WON1680A53-12_S4_L002_R2_001.fastq.gz	Caeca	592	Enriched	C	pos	3	3C	TRUE
3C-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3C-DirExt_CS-ShotSeq_WON1680A53-36_S30_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/3C-DirExt_CS-ShotSeq_WON1680A53-36_S30_L002_R2_001.fastq.gz	Caeca	592	Direct	C	neg	3	3C	TRUE
4A-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4A-BPW_CS-ShotSeq_WON1680A53-6_S45_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4A-BPW_CS-ShotSeq_WON1680A53-6_S45_L002_R2_001.fastq.gz	Caeca	5920	Enriched	A	pos	4	4A	TRUE
4A-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4A-DirExt_CS-ShotSeq_WON1680A53-31_S25_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4A-DirExt_CS-ShotSeq_WON1680A53-31_S25_L002_R2_001.fastq.gz	Caeca	5920	Direct	A	neg	4	4A	TRUE
4B-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4B-BPW_CS-ShotSeq_WON1680A53-7_S46_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4B-BPW_CS-ShotSeq_WON1680A53-7_S46_L002_R2_001.fastq.gz	Caeca	5920	Enriched	B	pos	4	4B	TRUE
4B-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4B-DirExt_CS-ShotSeq_WON1680A53-32_S26_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4B-DirExt_CS-ShotSeq_WON1680A53-32_S26_L002_R2_001.fastq.gz	Caeca	5920	Direct	B	neg	4	4B	TRUE
4C-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4C-BPW_CS-ShotSeq_WON1680A53-8_S47_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4C-BPW_CS-ShotSeq_WON1680A53-8_S47_L002_R2_001.fastq.gz	Caeca	5920	Enriched	C	pos	4	4C	TRUE
4C-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4C-DirExt_CS-ShotSeq_WON1680A53-33_S27_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/4C-DirExt_CS-ShotSeq_WON1680A53-33_S27_L002_R2_001.fastq.gz	Caeca	5920	Direct	C	neg	4	4C	TRUE
5A-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5A-BPW_CS-ShotSeq_WON1680A53-11_S3_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5A-BPW_CS-ShotSeq_WON1680A53-11_S3_L002_R2_001.fastq.gz	Caeca	59200	Enriched	A	pos	5	5A	TRUE
5A-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5A-DirExt_CS-ShotSeq_WON1680A53-28_S21_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5A-DirExt_CS-ShotSeq_WON1680A53-28_S21_L002_R2_001.fastq.gz	Caeca	59200	Direct	A	pos	5	5A	TRUE
5B-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5B-BPW_CS-ShotSeq_WON1680A53-4_S34_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5B-BPW_CS-ShotSeq_WON1680A53-4_S34_L002_R2_001.fastq.gz	Caeca	59200	Enriched	B	pos	5	5B	TRUE
5B-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5B-DirExt_CS-ShotSeq_WON1680A53-29_S22_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5B-DirExt_CS-ShotSeq_WON1680A53-29_S22_L002_R2_001.fastq.gz	Caeca	59200	Direct	B	pos	5	5B	TRUE
5C-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5C-BPW_CS-ShotSeq_WON1680A53-5_S44_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5C-BPW_CS-ShotSeq_WON1680A53-5_S44_L002_R2_001.fastq.gz	Caeca	59200	Enriched	C	pos	5	5C	TRUE
5C-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5C-DirExt_CS-ShotSeq_WON1680A53-30_S24_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/5C-DirExt_CS-ShotSeq_WON1680A53-30_S24_L002_R2_001.fastq.gz	Caeca	59200	Direct	C	pos	5	5C	TRUE
6A-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6A-BPW_CS-ShotSeq_WON1680A53-1_S1_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6A-BPW_CS-ShotSeq_WON1680A53-1_S1_L002_R2_001.fastq.gz	Caeca	592000	Enriched	A	pos	6	6A	TRUE
6A-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6A-DirExt_CS-ShotSeq_WON1680A53-25_S18_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6A-DirExt_CS-ShotSeq_WON1680A53-25_S18_L002_R2_001.fastq.gz	Caeca	592000	Direct	A	pos	6	6A	TRUE
6B-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6B-BPW_CS-ShotSeq_WON1680A53-2_S12_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6B-BPW_CS-ShotSeq_WON1680A53-2_S12_L002_R2_001.fastq.gz	Caeca	592000	Enriched	B	pos	6	6B	TRUE
6B-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6B-DirExt_CS-ShotSeq_WON1680A53-26_S19_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6B-DirExt_CS-ShotSeq_WON1680A53-26_S19_L002_R2_001.fastq.gz	Caeca	592000	Direct	B	pos	6	6B	TRUE
6C-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6C-BPW_CS-ShotSeq_WON1680A53-3_S23_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6C-BPW_CS-ShotSeq_WON1680A53-3_S23_L002_R2_001.fastq.gz	Caeca	592000	Enriched	C	pos	6	6C	TRUE
6C-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6C-DirExt_CS-ShotSeq_WON1680A53-27_S20_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/6C-DirExt_CS-ShotSeq_WON1680A53-27_S20_L002_R2_001.fastq.gz	Caeca	592000	Direct	C	pos	6	6C	TRUE
negA-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negA-BPW_CS-ShotSeq_WON1680A53-22_S15_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negA-BPW_CS-ShotSeq_WON1680A53-22_S15_L002_R2_001.fastq.gz	Caeca	0	Enriched	A	neg	neg	negA	TRUE
negA-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negA-DirExt_CS-ShotSeq_WON1680A53-46_S41_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negA-DirExt_CS-ShotSeq_WON1680A53-46_S41_L002_R2_001.fastq.gz	Caeca	0	Direct	A	neg	neg	negA	TRUE
negB-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negB-BPW_CS-ShotSeq_WON1680A53-23_S16_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negB-BPW_CS-ShotSeq_WON1680A53-23_S16_L002_R2_001.fastq.gz	Caeca	0	Enriched	B	neg	neg	negB	TRUE
negB-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negB-DirExt_CS-ShotSeq_WON1680A53-47_S42_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negB-DirExt_CS-ShotSeq_WON1680A53-47_S42_L002_R2_001.fastq.gz	Caeca	0	Direct	B	neg	neg	negB	TRUE
negC-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negC-BPW_CS-ShotSeq_WON1680A53-24_S17_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negC-BPW_CS-ShotSeq_WON1680A53-24_S17_L002_R2_001.fastq.gz	Caeca	0	Enriched	C	neg	neg	negC	TRUE
negC-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negC-DirExt_CS-ShotSeq_WON1680A53-48_S43_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/negC-DirExt_CS-ShotSeq_WON1680A53-48_S43_L002_R2_001.fastq.gz	Caeca	0	Direct	C	neg	neg	negC	TRUE
0A-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0A-BPW_FS-V4_WON1803A37-19_S59_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0A-BPW_FS-V4_WON1803A37-19_S59_L002_R2_001.fastq.gz	Feed	0.75	Enriched	A	pos	0	0A	FALSE
0B-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0B-BPW_FS-V4_WON1803A37-20_S61_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0B-BPW_FS-V4_WON1803A37-20_S61_L002_R2_001.fastq.gz	Feed	0.75	Enriched	B	pos	0	0B	FALSE
0C-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0C-BPW_FS-V4_WON1803A37-21_S62_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0C-BPW_FS-V4_WON1803A37-21_S62_L002_R2_001.fastq.gz	Feed	0.75	Enriched	C	pos	0	0C	FALSE
0D-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0D-BPW_FS-V4_WON1803A37-22_S63_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0D-BPW_FS-V4_WON1803A37-22_S63_L002_R2_001.fastq.gz	Feed	0.75	Enriched	D	pos	0	0D	FALSE
0E-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0E-BPW_FS-V4_WON1803A37-23_S64_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0E-BPW_FS-V4_WON1803A37-23_S64_L002_R2_001.fastq.gz	Feed	0.75	Enriched	E	pos	0	0E	FALSE
0F-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0F-BPW_FS-V4_WON1803A37-24_S65_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/0F-BPW_FS-V4_WON1803A37-24_S65_L002_R2_001.fastq.gz	Feed	0.75	Enriched	F	pos	0	0F	FALSE
1B-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/1B-BPW_FS-V4_WON1803A37-25_S66_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/1B-BPW_FS-V4_WON1803A37-25_S66_L002_R2_001.fastq.gz	Feed	7.5	Enriched	B	pos	1	1B	FALSE
1C-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/1C-BPW_FS-V4_WON1803A37-26_S67_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/1C-BPW_FS-V4_WON1803A37-26_S67_L002_R2_001.fastq.gz	Feed	7.5	Enriched	C	pos	1	1C	FALSE
1F-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/1F-BPW_FS-V4_WON1803A37-27_S68_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/1F-BPW_FS-V4_WON1803A37-27_S68_L002_R2_001.fastq.gz	Feed	7.5	Enriched	F	pos	1	1F	FALSE
2A-BWP-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2A-BPW_FS-V4_WON1803A37-28_S69_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2A-BPW_FS-V4_WON1803A37-28_S69_L002_R2_001.fastq.gz	Feed	75	Enriched	A	pos	2	2A	TRUE
2A-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2A-DirExt_FS-V4_WON1803A37-1_S49_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2A-DirExt_FS-V4_WON1803A37-1_S49_L002_R2_001.fastq.gz	Feed	75	Direct	A	neg	2	2A	TRUE
2B-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2B-BPW_FS-V4_WON1803A37-29_S70_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2B-BPW_FS-V4_WON1803A37-29_S70_L002_R2_001.fastq.gz	Feed	75	Enriched	B	pos	2	2B	TRUE
2B-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2B-DirExt_FS-V4_WON1803A37-2_S60_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2B-DirExt_FS-V4_WON1803A37-2_S60_L002_R2_001.fastq.gz	Feed	75	Direct	B	neg	2	2B	TRUE
2C-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2C-BPW_FS-V4_WON1803A37-30_S72_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2C-BPW_FS-V4_WON1803A37-30_S72_L002_R2_001.fastq.gz	Feed	75	Enriched	C	pos	2	2C	TRUE
2C-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2C-DirExt_FS-V4_WON1803A37-3_S71_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/2C-DirExt_FS-V4_WON1803A37-3_S71_L002_R2_001.fastq.gz	Feed	75	Direct	C	neg	2	2C	TRUE
3A-BPW-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3A-BPW_FS-V4_WON1803A37-31_S73_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3A-BPW_FS-V4_WON1803A37-31_S73_L002_R2_001.fastq.gz	Feed	750	Enriched	A	pos	3	3A	TRUE
3A-DE-FS	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3A-DirExt_FS-V4_WON1803A37-4_S79_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Feed_16S/3A-DirExt_FS-V4_WON1803A37-4_S79_L002_R2_001.fastq.gz	Feed	750	Direct	A	pos	3	3A	TRUE
