Sample	Matrix	Spikecellsperg	Replicate	Treatment	gene	copiesperng
4B	Feed	7500	B	Enriched	stn	808484.2417
4C	Feed	7500	C	Enriched	stn	546668.4045
3A	Feed	750	A	Enriched	stn	630888.1987
3B	Feed	750	B	Enriched	stn	590110.7423
3C	Feed	750	C	Enriched	stn	628312.115
2A	Feed	75	A	Enriched	stn	327305.0063
2B	Feed	75	B	Enriched	stn	245232.5742
2C	Feed	75	C	Enriched	stn	386243.7806
1A	Feed	7.5	A	Enriched	stn	86029.12609
1B	Feed	7.5	B	Enriched	stn	101145.185
1C	Feed	7.5	C	Enriched	stn	104365.3086
1D	Feed	7.5	D	Enriched	stn	34178.56678
1E	Feed	7.5	E	Enriched	stn	131021.2092
1F	Feed	7.5	F	Enriched	stn	20792.5496
0A	Feed	0.75	A	Enriched	stn	8186.264703
0B	Feed	0.75	B	Enriched	stn	0
0C	Feed	0.75	C	Enriched	stn	98636.46504
0D	Feed	0.75	D	Enriched	stn	0
0E	Feed	0.75	E	Enriched	stn	22482.31603
0F	Feed	0.75	F	Enriched	stn	0
negA	Feed	0	A	Enriched	stn	0
negB	Feed	0	B	Enriched	stn	0
negC	Feed	0	C	Enriched	stn	0
6A	Feed	750000	A	Enriched	invA	632547.9574
6B	Feed	750000	B	Enriched	invA	636566.4046
6C	Feed	750000	C	Enriched	invA	670707.3305
5A	Feed	75000	A	Enriched	invA	634204.0056
5B	Feed	75000	B	Enriched	invA	640037.7766
5C	Feed	75000	C	Enriched	invA	522541.4245
4A	Feed	7500	A	Enriched	invA	631163.8807
4B	Feed	7500	B	Enriched	invA	627845.1121
4C	Feed	7500	C	Enriched	invA	458448.8998
3A	Feed	750	A	Enriched	invA	538400.8373
3B	Feed	750	B	Enriched	invA	506988.4594
3C	Feed	750	C	Enriched	invA	532812.5972
2A	Feed	75	A	Enriched	invA	279079.8335
2B	Feed	75	B	Enriched	invA	220186.6583
2C	Feed	75	C	Enriched	invA	319723.2098
1A	Feed	7.5	A	Enriched	invA	72189.38434
1B	Feed	7.5	B	Enriched	invA	88951.62779
1C	Feed	7.5	C	Enriched	invA	94852.97353
1D	Feed	7.5	D	Enriched	invA	29919.78245
1E	Feed	7.5	E	Enriched	invA	114174.1909
1F	Feed	7.5	F	Enriched	invA	17128.1941
0A	Feed	0.75	A	Enriched	invA	8037.234848
0B	Feed	0.75	B	Enriched	invA	0.035158716
0C	Feed	0.75	C	Enriched	invA	86503.13239
0D	Feed	0.75	D	Enriched	invA	0.361116309
0E	Feed	0.75	E	Enriched	invA	16968.62727
0F	Feed	0.75	F	Enriched	invA	0
negA	Feed	0	A	Enriched	invA	11.84644616
negB	Feed	0	B	Enriched	invA	2.554651526
negC	Feed	0	C	Enriched	invA	0
6A	Feed	750000	A	Unenriched	stn	7756.255193
6B	Feed	750000	B	Unenriched	stn	10309.36744
6C	Feed	750000	C	Unenriched	stn	11922.22713
5A	Feed	75000	A	Unenriched	stn	1105.106134
5B	Feed	75000	B	Unenriched	stn	546.298053
5C	Feed	75000	C	Unenriched	stn	1315.27616
4A	Feed	7500	A	Unenriched	stn	85.30100558
4B	Feed	7500	B	Unenriched	stn	55.86805568
4C	Feed	7500	C	Unenriched	stn	108.6476424
3A	Feed	750	A	Unenriched	stn	6.413748179
3B	Feed	750	B	Unenriched	stn	6.612768683
3C	Feed	750	C	Unenriched	stn	15.01499078
2A	Feed	75	A	Unenriched	stn	0.434856798
2B	Feed	75	B	Unenriched	stn	0.81954009
2C	Feed	75	C	Unenriched	stn	0.600765367
1A	Feed	7.5	A	Unenriched	stn	0.163515882
1B	Feed	7.5	B	Unenriched	stn	0.077587251
1C	Feed	7.5	C	Unenriched	stn	0.06642857
1D	Feed	7.5	D	Unenriched	stn	0.092566086
1E	Feed	7.5	E	Unenriched	stn	0.140181556
1F	Feed	7.5	F	Unenriched	stn	0.111054301
0A	Feed	0.75	A	Unenriched	stn	0
0B	Feed	0.75	B	Unenriched	stn	0.040954571
0C	Feed	0.75	C	Unenriched	stn	0
0D	Feed	0.75	D	Unenriched	stn	0
0E	Feed	0.75	E	Unenriched	stn	0
0F	Feed	0.75	F	Unenriched	stn	0.073335704
negA	Feed	0	A	Unenriched	stn	0.019868103
